service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
19T0+37,1,1,1,1,1,0,0,20180101,20180731
19T0,1,1,1,1,1,0,0,20180101,20180731
19T0+48,1,1,1,1,0,0,0,20180101,20180731
19T0+50,0,0,0,0,1,0,0,20180101,20180731
19T2,0,0,0,0,0,1,0,20180101,20180731
19T0+85,1,1,1,1,1,0,0,20180101,20180731
19T0+04,1,1,1,1,0,0,0,20180101,20180731
19T0+84,1,1,1,1,1,0,0,20180101,20180731
19T0+38,1,1,1,1,1,0,0,20180101,20180731
19T0+14,1,1,1,1,0,0,0,20180101,20180731
19T0+37#1,1,1,1,1,1,0,0,20180101,20180731
19T0#1,1,1,1,1,1,0,0,20180101,20180731
19T0+38#1,1,1,1,1,1,0,0,20180101,20180731
19T0#2,1,1,1,1,1,0,0,20180103,20180507
19T0+37#2,1,1,1,1,1,0,0,20180103,20180507
19T0+38#2,1,1,1,1,1,0,0,20180103,20180507
19T0+18,1,1,1,1,0,0,0,20180101,20180731
19T0+56,0,0,0,0,1,0,0,20180101,20180731
19T4,0,0,0,0,0,1,1,20180101,20180731
19T3,0,0,0,0,0,0,1,20180101,20180731
19T0+86,0,0,0,0,1,0,0,20180101,20180731
19T0+03,1,1,1,1,1,0,0,20180101,20180731
19T0#3,0,1,1,1,1,0,0,20180101,20180107
19T0#4,1,1,1,1,1,0,0,20180108,20180731
19T2+58,0,0,0,0,0,1,0,20180101,20180731
19T0+59,0,0,0,0,1,0,0,20180101,20180731
19T0+62,1,1,1,1,1,0,0,20180101,20180731
19T0+05,1,1,1,1,1,0,0,20180101,20180731
19T0+17,0,1,1,0,1,0,0,20180101,20180731
19T0+38#3,0,1,1,1,1,0,0,20180101,20180107
19T0+37#3,1,1,1,1,1,0,0,20180108,20180731
19T0+38#4,1,1,1,1,1,0,0,20180108,20180731
19T2#1,0,0,0,0,0,1,0,20180108,20180731
19T3#1,1,0,0,0,0,1,1,20180101,20180107
19T0+84#1,0,1,1,1,1,0,0,20180101,20180107
19T3#2,0,0,0,0,0,0,1,20180108,20180731
19T2+82,0,0,0,0,0,1,0,20180108,20180731
19T0+85#1,1,1,1,1,1,0,0,20180108,20180731
19T0+84#2,1,1,1,1,1,0,0,20180108,20180731
19T8,1,1,1,1,1,0,0,20180101,20180731
19T9,1,1,1,1,1,0,0,20180101,20180731
19T1,1,1,1,1,1,1,0,20180101,20180731
19T0+13,1,1,1,0,0,0,0,20180101,20180731
19T0+55,0,0,0,1,1,0,0,20180101,20180731
19T3+99,0,0,0,0,0,0,1,20180101,20180731
"19T0+14,37",1,1,1,1,0,0,0,20180101,20180731
19T8+14,1,1,1,1,0,0,0,20180101,20180731
19T2#2,0,0,0,0,0,1,0,20180101,20180731
19T0#5,1,1,1,1,1,0,0,20180101,20180731
19T2#3,0,0,0,0,0,1,0,20180108,20180531
19T0#6,1,1,1,1,1,0,0,20180108,20180531
19T6,0,0,0,0,1,0,0,20180101,20180731
19T5,1,1,1,1,0,0,0,20180101,20180731
19T0+vr,1,1,1,1,1,0,0,20180101,20180731
19T4+82,0,0,0,0,0,1,1,20180101,20180731
19T0#7,1,1,1,1,1,0,0,20180101,20180218
19T2#4,0,0,0,0,0,1,0,20180101,20180218
19T3#3,1,0,0,0,0,1,1,20180101,20180218
19T0#8,1,1,1,1,1,0,0,20180219,20180731
