route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-210-s18-1,1,210,"Neuperlach Süd - Ottobrunn - Taufkirchen, Lilienthalstraße - Brunnthal, Zusestraße",701,,008351,FFFFFF
19-211-s18-1,1,211,Campeon - Unterbiberg - Neubiberg - Putzbrunn - Harthausen,701,,008351,FFFFFF
19-212-s18-1,1,212,Neuperlach Süd - Neubiberg - Ottobrunn - Putzbrunn - Grasbrunn,701,,008351,FFFFFF
19-213-s18-1,1,213,"Taufkirchen, Lilienthalstraße - München, Ostbahnhof",701,,008351,FFFFFF
19-214-s18-1,1,214,"Hohenbrunn -  Ottobrunn - Riemerling, Altenheim",701,,008351,FFFFFF
19-215-s18-1,1,215,Lohhof Süd - Unterschleißheim - Lohhof Nord - Unterschleißheim - Lohhof Süd,701,,008351,FFFFFF
19-216-s18-1,1,216,"(Neubiberg, Realschule) - Brunnthal Nord - Höhenkirchen-Sieg. - Brunnthal - Otterloh/Faistenhaar",701,,008351,FFFFFF
19-217-s18-1,1,217,Neuperlach Süd - Unterbiberg - Unterhaching - Unterbiberg - Neuperlach Süd,701,,008351,FFFFFF
19-219-s18-1,1,219,Unterschleißheim Ost - Garching-Hochbrück,701,,008351,FFFFFF
19-220-s18-1,1,220,Giesing - Sankt-Quirin-Platz - Unterhaching - Winning,701,,008351,FFFFFF
19-221-s18-1,1,221,"München, Waldheimplatz - Ottobrunn - Unterhaching",701,,008351,FFFFFF
19-222-s18-1,1,222,Deisenhofen - Neuperlach Süd,701,,008351,FFFFFF
19-223-s18-1,1,223,Sauerlach - Arget (- Gewerbegebiet) - Sauerlach,701,,008351,FFFFFF
19-224-s18-1,1,224,Höllriegelskreuth - Deisenhofen - Unterhaching,701,,008351,FFFFFF
19-225-s18-1,1,225,Gewerbegebiet Potzham - Taufkirchen,701,,008351,FFFFFF
19-226-s18-1,1,226,Sauerlach - Otterloh - Sauerlach - Gumpertshausen,701,,008351,FFFFFF
19-227-s18-2,1,227,Ortsbus Oberhaching,701,,008351,FFFFFF
19-229-s18-1,1,229,"Neuperlach Süd - Neubiberg, Hauptstr. - Ottobrunn, Karl-Stieler-Str. - Phönix-Bad",701,,008351,FFFFFF
19-230-s18-1,1,230,"Garching, Forschungszentrum - Garching  - Ismaning - Fischerhäuser",701,,008351,FFFFFF
19-231-s18-1,1,231,Studentenstadt - Unterföhring - Ismaning,701,,008351,FFFFFF
19-232-H-s18-1,1,232,Ortsbus Unterföhring,701,,008351,FFFFFF
19-233-s18-1,1,233,"Studentenstadt - Unterföhring, Gewerbegebiet - (Unterföhring ) - Studentenstadt",701,,008351,FFFFFF
19-234-s18-1,1,234,Unterföhring - Aschheim - Feldkirchen - Messestadt West,701,,008351,FFFFFF
19-240-s18-1,1,240,"Neukeferloh, Bahnhofstr. - Harthausen, Kriegerdenkmal",701,,008351,FFFFFF
19-241-s18-1,1,241,"Taufkirchen, Friedhof - Taufkirchen - Ottobrunn - Haar",701,,008351,FFFFFF
19-242-s18-1,1,242,Gronsdorf - Ottendichl -  Haar,701,,008351,FFFFFF
19-243-s18-1,1,243,"Neukeferloh, Ostring - Haar - Haar, Hans-Stießberger-Str.",701,,008351,FFFFFF
19-258-s18-1,1,258,"Gräfelfing - Planegg - Gräfelfing, Rathaus - Lochham - Lochham, Starnberger Str.",701,,008351,FFFFFF
19-260-s18-1,1,260,Fürstenried West - Planegg  - Germering-Unterpfaffenhofen,701,,008351,FFFFFF
19-261-s18-1,1,261,"Fürstenried West - Neuried, Hainbuchenring",701,,008351,FFFFFF
19-262-s18-1,1,262,"Heimstetten Süd - Kirchheim, Gewerbegebiet - Heimstetten Süd",701,,008351,FFFFFF
19-263-s18-1,1,263,Feldkirchen - Heimstetten - Kirchheim - Aschheim - Riem Dornach - Messestadt West,701,,008351,FFFFFF
19-264-s18-1,1,264,Riem Dornach - Dornach Gewerbegeb. - Messestadt West,701,,008351,FFFFFF
19-265-s18-1,1,265,"Planegg - Planegg, Steinkirchen - Gräfelfing - Pasing Bf",701,,008351,FFFFFF
19-266-s18-1,1,266,Klinikum Großhadern - Martinsried - Planegg,701,,008351,FFFFFF
19-267-s18-1,1,267,Fürstenried West - Martinsried - Lochham - Altenburgstr.,701,,008351,FFFFFF
19-268-s18-1,1,268,Gräfelfing - Großhadern - Waldfriedhof,701,,008351,FFFFFF
19-269-s18-1,1,269,"Klinikum Großhadern - Neuried,Eichenstraße",701,,008351,FFFFFF
19-270-s18-1,1,270,Solln - Pullach - Höllriegelskreuth,701,,008351,FFFFFF
19-271-s18-1,1,271,Höllriegelskreuth - Straßlach - Dietramszell,701,,008351,FFFFFF
19-285-s18-1,1,285,Ismaning - Feldkirchen - Haar,701,,008351,FFFFFF
19-290-s18-1,1,290,Stadtbus Garching Hochbrück - Garching-Hochbrück - Untere Strassäcker,701,,008351,FFFFFF
19-291-s18-1,1,291,Bruckmannring - Oberschleißheim - Dachau,701,,008351,FFFFFF
19-292-s18-1,1,292,Sonnenstraße - Oberschleißheim - Garching-Hochbrück - Garching - Garching-Forschungszentrum,701,,008351,FFFFFF
19-293-s18-1,1,293,Garching - Dirnismaning,701,,008351,FFFFFF
19-294-s18-1,1,294,Garching-Hochbrück - Helmholtz Zentrum - Am Hart,701,,008351,FFFFFF
19-295-s18-1,1,295,Oberschleißheim - Helmholtz Zentrum - Am Hart,701,,008351,FFFFFF
19-301-s18-1,1,301,Stadtbus Wolfratshausen,701,,008351,FFFFFF
19-302-s18-1,1,302,Stadtbus Wolfratshausen,701,,008351,FFFFFF
19-310-s18-1,1,310,Stadtbus Geretsried Erikaweg - Rathaus - Schulzentrum - Steiner Ring Süd,701,,008351,FFFFFF
19-310-s18-2,1,310,Stadtbus Geretsried Erikaweg - Rathaus - Schulzentrum - Steiner Ring Süd,701,,008351,FFFFFF
19-370-s18-1,1,370,"Wolfratshausen - Geretsried, Fasanenweg - Feuerwehrschule - Geretsried, Stein",701,,008351,FFFFFF
19-372-s18-1,1,372,Wolfratshausen - Eurasburg - Beuerberg,701,,008351,FFFFFF
19-373-s18-1,1,373,Wolfratshausen - Münsing - Seeshaupt,701,,008351,FFFFFF
19-374-s18-1,1,374,Wolfratshausen - Königsdorf - Beuerberg - (Penzberg),701,,008351,FFFFFF
19-375-s18-1,1,375,Wolfratshausen - Egling - Endlhausen,701,,008351,FFFFFF
19-376-s18-1,1,376,Wolfratshausen - Geretsried - Schönrain - Bad Heilbrunn,701,,008351,FFFFFF
19-377-s18-1,1,377,Wolfratshausen - Egling - Ascholding - Bad Tölz,701,,008351,FFFFFF
19-378-s18-1,1,378,"Wolfratshausen (- Gelting) - Geretsried, Lilienstr. - Johannisplatz - Am Stern - Geretsried, Stein",701,,008351,FFFFFF
19-379-s18-1,1,379,Wolfratshausen - Geretsried - Bad Tölz,701,,008351,FFFFFF
19-381-s18-1,1,381,Geretsried -Ascholding-Dietramszell-Endlhausen-Deisenhofen,701,,008351,FFFFFF
19-411-s18-1,1,411,Neuperlach Süd - Putzbrunn - Oberpframmern - Glonn (- Antholing - Glonn),701,,008351,FFFFFF
19-413-s18-1,1,413,"Höhenkirchen-Siegertsbrunn - Glonn, Bahnhofsplatz - Antholing",701,https://www.mvv-muenchen.de/fileadmin/mediapool/02-Fahrplanauskunft/02-Dokumente/Anmeldeverfahren_Bedarfsverkehr.pdf,008351,FFFFFF
