service_id,date,exception_type
19T0,20180101,2
19T0,20180330,2
19T0,20180402,2
19T0,20180501,2
19T0,20180510,2
19T0,20180521,2
19T0,20180531,2
19T0#1,20180101,2
19T0#1,20180103,2
19T0#1,20180104,2
19T0#1,20180105,2
19T0#1,20180108,2
19T0#1,20180109,2
19T0#1,20180110,2
19T0#1,20180111,2
19T0#1,20180112,2
19T0#1,20180115,2
19T0#1,20180116,2
19T0#1,20180117,2
19T0#1,20180118,2
19T0#1,20180119,2
19T0#1,20180122,2
19T0#1,20180123,2
19T0#1,20180124,2
19T0#1,20180125,2
19T0#1,20180126,2
19T0#1,20180129,2
19T0#1,20180130,2
19T0#1,20180131,2
19T0#1,20180201,2
19T0#1,20180202,2
19T0#1,20180205,2
19T0#1,20180206,2
19T0#1,20180207,2
19T0#1,20180208,2
19T0#1,20180209,2
19T0#1,20180212,2
19T0#1,20180213,2
19T0#1,20180214,2
19T0#1,20180215,2
19T0#1,20180216,2
19T0#1,20180219,2
19T0#1,20180220,2
19T0#1,20180221,2
19T0#1,20180222,2
19T0#1,20180223,2
19T0#1,20180226,2
19T0#1,20180227,2
19T0#1,20180228,2
19T0#1,20180301,2
19T0#1,20180302,2
19T0#1,20180305,2
19T0#1,20180306,2
19T0#1,20180307,2
19T0#1,20180308,2
19T0#1,20180309,2
19T0#1,20180312,2
19T0#1,20180313,2
19T0#1,20180314,2
19T0#1,20180315,2
19T0#1,20180316,2
19T0#1,20180319,2
19T0#1,20180320,2
19T0#1,20180321,2
19T0#1,20180322,2
19T0#1,20180323,2
19T0#1,20180326,2
19T0#1,20180327,2
19T0#1,20180328,2
19T0#1,20180329,2
19T0#1,20180330,2
19T0#1,20180402,2
19T0#1,20180403,2
19T0#1,20180404,2
19T0#1,20180405,2
19T0#1,20180406,2
19T0#1,20180409,2
19T0#1,20180410,2
19T0#1,20180411,2
19T0#1,20180412,2
19T0#1,20180413,2
19T0#1,20180416,2
19T0#1,20180417,2
19T0#1,20180418,2
19T0#1,20180419,2
19T0#1,20180420,2
19T0#1,20180423,2
19T0#1,20180424,2
19T0#1,20180425,2
19T0#1,20180426,2
19T0#1,20180427,2
19T0#1,20180430,2
19T0#1,20180501,2
19T0#1,20180502,2
